TENURE,LU_DESC,HECTARES,LC_DESC_11,LC_DESC_10
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.01107337,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00083259,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.04940034,Unknown,Unknown
PRIVATE,Detached Home,0.08010607,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.01968695,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.00292176,Unknown,Unknown
PRIVATE,Detached Home,0.10408488,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.05653929,Unknown,Unknown
PRIVATE,Detached Home,0.08010177,Unknown,Unknown
PRIVATE,Detached Home,0.10107610,Unknown,Unknown
PRIVATE,Detached Home,0.17476969,Unknown,Unknown
PRIVATE,Detached Home,0.08010860,Unknown,Unknown
PRIVATE,Detached Home,0.08010705,Unknown,Unknown
PRIVATE,Detached Home,0.09736004,Unknown,Unknown
PRIVATE,Detached Home,0.08010768,Unknown,Unknown
PRIVATE,Detached Home,0.02413358,Unknown,Unknown
PRIVATE,Detached Home,0.11054389,Unknown,Unknown
PRIVATE,Vacant Residential Home Site / Surveyed Lot,0.08010269,Unknown,Unknown
PRIVATE,Detached Home,0.00194832,Unknown,Unknown
PRIVATE,Detached Home,0.09764243,Unknown,Unknown
PRIVATE,Detached Home,0.08864071,Unknown,Unknown
PUBLIC,Nature Reserve,59.49882573,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),20.29149083,Pasture and grassland,Pasture and grassland
PRIVATE,Livestock Production (Dairy Cattle),0.62445003,Unknown,Unknown
PRIVATE,Detached Home,0.86346319,Unknown,Unknown
PRIVATE,Detached Home,0.28252480,Unknown,Unknown
PRIVATE,Detached Home,0.11845788,Unknown,Unknown
PRIVATE,Detached Home,0.08351864,Unknown,Unknown
PRIVATE,Livestock Production (Beef Cattle),16.15576238,Softwood Plantation,Pasture and grassland
PRIVATE,Detached Home,0.08010047,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,0.24463079,Unknown,Unknown
PUBLIC,Community Service Facilities or Other,2.00541167,Unknown,Unknown
PRIVATE,Detached Home,0.08010557,Unknown,Unknown
PRIVATE,Native Hardwood (standing timber),0.51941276,Unknown,Unknown
PRIVATE,Detached Home,0.08010581,Unknown,Unknown
